fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-07-31,AA,AA,AA,1889,AA,N954UW,1889,14100,PHL,"Philadelphia, PA",13198,MCI,"Kansas City, MO",2025,2028,3,15,2043,2211,3,2223,2214,-9,0,,0,N,178,166,148,1,1038,,,,,,,,,
2018-12-03,AA,AA_CODESHARE,AA,6007,CP,N201NN,6007,14771,SFO,"San Francisco, CA",12892,LAX,"Los Angeles, CA",1440,1428,-12,24,1452,1546,14,1613,1600,-13,0,,0,N,93,92,54,1,337,,,,,,,,,
2019-11-16,AA,AA,AA,568,AA,N680AW,568,14107,PHX,"Phoenix, AZ",11423,DSM,"Des Moines, IA",2003,1950,-13,11,2001,2317,3,2346,2320,-26,0,,0,N,163,150,136,1,1149,,,,,,,,,
2018-04-22,UA,UA_CODESHARE,UA,5180,OO,N866AS,5180,11292,DEN,"Denver, CO",14893,SMF,"Sacramento, CA",1510,1504,-6,15,1519,1640,5,1652,1645,-7,0,,0,N,162,161,141,1,909,,,,,,,,,
2018-04-17,WN,WN,WN,425,WN,N791SW,425,13244,MEM,"Memphis, TN",10821,BWI,"Baltimore, MD",1340,1346,6,6,1352,1631,3,1645,1634,-11,0,,0,N,125,108,99,1,787,,,,,,,,,
2018-10-16,AA,AA,AA,2466,AA,N970NN,2466,14908,SNA,"Santa Ana, CA",14107,PHX,"Phoenix, AZ",1928,1924,-4,17,1941,2031,14,2045,2045,0,0,,0,N,77,81,50,1,338,,,,,,,,,
2019-09-05,UA,UA_CODESHARE,UA,4688,AX,N847HK,4688,12012,GUC,"Gunnison, CO",11292,DEN,"Denver, CO",1753,1732,-21,30,1802,1839,18,1858,1857,-1,0,,0,N,65,85,37,1,152,,,,,,,,,
2018-08-11,AA,AA,AA,1070,AA,N949AN,1070,14635,RSW,"Fort Myers, FL",11298,DFW,"Dallas/Fort Worth, TX",1932,1928,-4,15,1943,2122,13,2124,2135,11,0,,0,N,172,187,159,1,1017,,,,,,,,,
2019-12-12,DL,DL,DL,486,DL,N969DL,486,12992,LIT,"Little Rock, AR",10397,ATL,"Atlanta, GA",940,938,-2,11,949,1152,7,1205,1159,-6,0,,0,N,85,81,63,1,453,,,,,,,,,
2018-04-22,UA,UA_CODESHARE,UA,6249,YV,N86336,6249,10397,ATL,"Atlanta, GA",12266,IAH,"Houston, TX",1205,1159,-6,21,1220,1314,10,1325,1324,-1,0,,0,N,140,145,114,1,689,,,,,,,,,
2018-06-18,WN,WN,WN,990,WN,N920WN,990,14107,PHX,"Phoenix, AZ",12889,LAS,"Las Vegas, NV",1955,1951,-4,8,1959,2043,4,2055,2047,-8,0,,0,N,60,56,44,1,255,,,,,,,,,
2018-08-02,B6,B6,B6,61,B6,N653JB,61,10721,BOS,"Boston, MA",14843,SJU,"San Juan, PR",2348,15,27,10,25,400,4,345,404,19,0,,0,N,237,229,215,1,1674,18,0,0,0,1,,,,
